pc1,pc2,cluster,cluster_label
-2.103825452035976,-0.7337871969630444,0,Digitally excluded
1.1882183292173198,-0.28990869422564386,1,connected but engaged
-2.085097834208306,-1.7528644880450148,0,Digitally excluded
-0.5977840534539753,0.5086130436276243,0,Digitally excluded
-2.4037490996432918,-0.8200958029779409,0,Digitally excluded
0.9582585495659455,0.8796143223616492,1,connected but engaged
-0.23703905548363466,-1.0676978802200456,1,connected but engaged
-1.1966836482885308,1.7844892691332659,0,Digitally excluded
-0.038587507789830645,1.8808628637656397,1,connected but engaged
-2.306757672592086,-1.5181186005545955,0,Digitally excluded
-1.3164520263606405,-1.4989196386648937,0,Digitally excluded
-0.4150150116234783,1.652843126482663,1,connected but engaged
0.17786804031628292,0.3483630257743699,1,connected but engaged
-0.24343546278453496,0.03732669946408896,0,Digitally excluded
0.40445310223432435,1.5769187054826566,1,connected but engaged
-0.4095754412967448,2.464545418150674,1,connected but engaged
0.9404700215763685,-0.46408267313116236,1,connected but engaged
3.4672298998796434,-0.3564004348727882,2,advanced adopters
-0.6555553597437216,1.707059888477294,1,connected but engaged
0.15515381528084377,0.8654031494573049,1,connected but engaged
0.6528065053461442,-0.8551654313101962,1,connected but engaged
-0.42793085179429957,-0.4650192879646068,0,Digitally excluded
0.32694434537636147,-2.5542616750051006,1,connected but engaged
-2.35276472197017,-0.4485179971318473,0,Digitally excluded
0.06709058807853861,2.0299338838474994,1,connected but engaged
2.081562894149572,-1.5502625814955762,1,connected but engaged
1.1405004594582384,0.7322408646646938,1,connected but engaged
-0.998117208253685,-1.6041475188909424,0,Digitally excluded
-0.5430753122818353,2.3990039144210007,1,connected but engaged
-0.6713127840089985,-2.0860535494196224,0,Digitally excluded
0.9819065505533747,-0.271658662344526,1,connected but engaged
1.27144154434938,1.0408304059626698,1,connected but engaged
5.3264493179198045,-0.06471544975132136,2,advanced adopters
-2.2633966568221924,-1.490859979861085,0,Digitally excluded
-2.7873355317730018,0.2693933345508152,0,Digitally excluded
-0.9082367867481975,0.38296418841406243,0,Digitally excluded
1.073524868377903,-0.7020333906198774,1,connected but engaged
1.3658243183770207,0.7776736443591038,1,connected but engaged
-1.8566960020286019,-1.0065817606266914,0,Digitally excluded
-0.6307403885673527,2.8109655284546955,1,connected but engaged
-1.8511458536617849,-1.9122137644802404,0,Digitally excluded
0.514688661506841,0.48599810599452614,1,connected but engaged
0.6781553269918209,1.3890012858745315,1,connected but engaged
-1.0123748497526128,0.03451421107473155,0,Digitally excluded
4.741521196367982,-0.6503428293693825,2,advanced adopters
-2.039263039508733,-1.2753613702816466,0,Digitally excluded
-0.1336467461647877,1.974775674353682,1,connected but engaged
1.2020560680451289,1.3781018476756801,1,connected but engaged
-2.3922777294944355,-0.18516579401838154,0,Digitally excluded
-1.2374826435194355,-1.382784277715277,0,Digitally excluded
-1.5627815770304423,-0.519663292807069,0,Digitally excluded
1.002064589519395,1.2103651642735476,1,connected but engaged
-0.08894453473237621,0.7829863192699773,1,connected but engaged
0.6504518696993062,-0.3307100864436977,1,connected but engaged
1.8618393212060564,-1.0544758290502518,1,connected but engaged
-1.3200701750138366,2.1842935044726604,0,Digitally excluded
0.331118872818529,-2.5738788947209907,1,connected but engaged
-2.0383580136434536,-1.440826614754294,0,Digitally excluded
-0.5875004597276364,0.8093423048964031,0,Digitally excluded
0.24786503123741524,0.6909107717227926,1,connected but engaged
-2.816557223868174,0.4067138725620468,0,Digitally excluded
-0.8111728156280621,-0.13733162590734255,0,Digitally excluded
0.6809859916975245,1.3377544123397196,1,connected but engaged
1.2140604632046572,0.37535220323579316,1,connected but engaged
-1.6287204539661018,0.4977226894318711,0,Digitally excluded
-2.030239573464244,1.432127946623562,0,Digitally excluded
0.004522543375642183,2.1323741811810675,1,connected but engaged
1.8357726500101808,0.1942572576257999,1,connected but engaged
-0.3042560598346843,0.6125855412567766,0,Digitally excluded
-1.9030692557383437,-1.0401632359873108,0,Digitally excluded
1.4932068488046155,1.7826921110750564,1,connected but engaged
-1.2939845204778981,-0.10757973929338868,0,Digitally excluded
0.1190320988965278,1.883709794906365,1,connected but engaged
-2.457670251590664,0.07491869977681705,0,Digitally excluded
0.006849889305830566,2.023574413815629,1,connected but engaged
-2.860362510508748,-1.0113976574197308,0,Digitally excluded
-0.4595478654907066,-0.7529074237349458,0,Digitally excluded
-1.375022341979317,-2.4272001751020267,0,Digitally excluded
0.39339517220734743,2.276506436028086,1,connected but engaged
-2.332287242013272,-1.0419143153344725,0,Digitally excluded
1.525365019003338,-1.0201457121019444,1,connected but engaged
-1.8719219248027472,-1.0632654030607072,0,Digitally excluded
4.018089812989252,-0.2597760361103801,2,advanced adopters
-1.7824767951560538,-0.7108677749255631,0,Digitally excluded
-1.07130221748265,-1.022923788514917,0,Digitally excluded
-2.1229007746644504,-0.3547005523292595,0,Digitally excluded
-1.7066570172960196,-0.8532412848662261,0,Digitally excluded
-2.1770347573187423,-0.9847872290656328,0,Digitally excluded
-1.5949804754590136,1.5455099206494585,0,Digitally excluded
-1.9625826646770645,0.6013580451555053,0,Digitally excluded
0.15575540958755685,-0.6400073126213456,1,connected but engaged
1.2325558875556906,0.5778838704265662,1,connected but engaged
-2.8738633887166034,-0.7057192541608807,0,Digitally excluded
1.640117898533356,1.681322209251966,1,connected but engaged
-0.9169562456904955,-1.727173493933514,0,Digitally excluded
0.6869992729893275,1.4614410692563538,1,connected but engaged
0.030124150979260748,-1.6048715841105732,1,connected but engaged
0.06750702186326542,2.1165722833728147,1,connected but engaged
0.5674030396697408,-1.246530677698744,1,connected but engaged
-2.2502464770779897,-1.1886496895884462,0,Digitally excluded
-2.037194127288254,0.564667686621757,0,Digitally excluded
-3.0178268298092976,0.9018746283977966,0,Digitally excluded
-2.6995232691751174,-0.6708847031174622,0,Digitally excluded
-1.0339230722327488,-1.3247516127732955,0,Digitally excluded
-1.4739163456611906,0.41435264715263326,0,Digitally excluded
-1.8108220738463836,0.6128892918604204,0,Digitally excluded
1.108456530319706,0.8666869472277614,1,connected but engaged
-2.944567657596915,0.9610566620955991,0,Digitally excluded
2.593000270495117,-1.4316574464171905,2,advanced adopters
-2.038204619224989,-0.24647466150840144,0,Digitally excluded
-0.2842681734742816,-0.9832734035713369,1,connected but engaged
-2.8090031383181713,-0.415484782626512,0,Digitally excluded
-2.262457494838341,0.011667152240784412,0,Digitally excluded
1.8784523860950244,-0.34180326520885634,2,advanced adopters
0.8461883869973933,-0.9014113959118417,1,connected but engaged
2.7800933593397037,0.9875569805971579,2,advanced adopters
-0.023730751895326207,-0.09692580446315151,1,connected but engaged
-0.6516130257781902,2.9090516270341467,1,connected but engaged
-3.0306131097723354,-0.3725568935408784,0,Digitally excluded
-0.451811734090726,0.013056081104346013,0,Digitally excluded
-2.062660075891742,-0.34834108229738875,0,Digitally excluded
3.8669145363541384,-2.191686531332701e-05,2,advanced adopters
-1.0194847365776945,-1.6177356431250938,0,Digitally excluded
-0.5322747660052917,-1.3624084227623159,0,Digitally excluded
3.0520298535765136,-0.5123865033519018,2,advanced adopters
1.35493209319273,0.648486011644865,1,connected but engaged
5.35746832459734,0.0789645582917809,2,advanced adopters
-2.4806879081846698,-0.7479863941462505,0,Digitally excluded
-1.5100568299102355,-1.4404590437996883,0,Digitally excluded
-2.4492713297767135,-0.15613373805974903,0,Digitally excluded
-2.5893229410637755,0.09855974369669213,0,Digitally excluded
-0.54473261301072,-0.609029670557841,0,Digitally excluded
1.2281186624769875,-0.7357820909438891,1,connected but engaged
-2.215137775996047,-0.2579132862930535,0,Digitally excluded
-1.2803978817928972,-2.1939113652602784,0,Digitally excluded
-0.7122987487344543,2.599199935783888,1,connected but engaged
